a,b,winner,location,date,a_bat,a_bowl,b_bat,b_bowl
South Africa,New Zealand,New Zealand,Kimberley,22-Jan-13,223.6191744,45.9446856,283.2629688,62.80005482
India,England,India,Mohali,23-Jan-13,292.5000355,45.29390747,279.7826185,60.9664803
Australia,Sri Lanka,Australia,Hobart,23-Jan-13,275.616448,54.59901002,248.239993,69.9899003
South Africa,New Zealand,South Africa,Potchefstroom,25-Jan-13,224.5597588,45.9446856,288.9188021,51.68630003
India,England,England,Dharamsala,27-Jan-13,319.5637014,46.55560103,280.8816861,60.9664803
Australia,West Indies,Australia,Perth,1-Feb-13,308.1194345,54.74210943,275.3246389,73.02543784
Australia,West Indies,Australia,Perth,3-Feb-13,314.2194345,54.74210943,274.3288813,73.02543784
Australia,West Indies,Australia,Canberra,6-Feb-13,365.1280578,66.03134246,319.3336829,70.88185681
Australia,West Indies,Australia,Sydney,8-Feb-13,355.3841781,50.63815156,309.580714,60.07865587
Australia,West Indies,Australia,Melbourne,10-Feb-13,302.0556166,60.8750355,264.6516974,62.49180285
New Zealand,England,New Zealand,Hamilton,17-Feb-13,281.0254569,62.37685656,289.1612693,55.39858809
New Zealand,England,England,Napier,20-Feb-13,296.7013177,62.37685656,221.5226892,44.31089806
New Zealand,England,England,Auckland,23-Feb-13,298.5779844,62.37685656,249.6611083,53.76480055
South Africa,Pakistan,South Africa,Bloemfontein,10-Mar-13,318.3967197,79.64837533,299.0021988,47.94884928
South Africa,Pakistan,Pakistan,Centurion,15-Mar-13,285.5690482,94.04322511,306.0737556,51.61958201
South Africa,Pakistan,South Africa,Johannesburg,17-Mar-13,285.2761315,92.08579996,306.9039845,62.24163427
South Africa,Pakistan,Pakistan,Durban,21-Mar-13,281.0329614,92.08579996,309.1362006,62.24163427
Sri Lanka,Bangladesh,Sri Lanka,Hambantota,23-Mar-13,181.7592642,49.02999939,283.417253,65.85782329
South Africa,Pakistan,South Africa,Benoni,24-Mar-13,283.0824741,92.08579996,312.5008898,66.47078755
Sri Lanka,Bangladesh,Bangladesh,Pallekele,28-Mar-13,170.9841597,37.79913916,288.8924666,65.85782329
England,New Zealand,New Zealand,Lord's,31-May-13,323.1113721,54.69886396,271.7349686,58.05007934
England,New Zealand,New Zealand,Southampton,2-Jun-13,325.0743623,54.69886396,272.8842333,45.9446856
England,New Zealand,England,Nottingham,5-Jun-13,333.9057478,49.99347352,246.9134702,58.05007934
India,South Africa,India,Cardiff,6-Jun-13,265.6581925,57.13430385,305.8808079,62.80005482
Pakistan,West Indies,West Indies,The Oval,7-Jun-13,270.5014594,80.03806189,277.0611725,62.34333848
England,Australia,England,Birmingham,8-Jun-13,297.3005479,66.03134246,330.8584967,49.50748282
New Zealand,Sri Lanka,New Zealand,Cardiff,9-Jun-13,234.747994,71.87014441,265.1772624,58.56725093
Pakistan,South Africa,South Africa,Birmingham,10-Jun-13,265.4526395,80.03806189,310.682036,37.32679701
India,West Indies,India,The Oval,11-Jun-13,272.6932991,57.13430385,315.080699,72.04708022
England,Sri Lanka,Sri Lanka,The Oval,13-Jun-13,329.5634173,50.07741886,232.6960635,59.83736799
India,Pakistan,India,Birmingham,15-Jun-13,265.7309198,57.13430385,272.3841876,80.03806189
England,New Zealand,England,Cardiff,16-Jun-13,334.1845024,49.50748282,246.8207509,59.76475066
Australia,Sri Lanka,Sri Lanka,The Oval,17-Jun-13,316.9570248,60.8750355,232.6121075,59.83736799
England,South Africa,England,The Oval,19-Jun-13,298.2726378,52.48590937,300.336046,47.94884928
India,Sri Lanka,India,Cardiff,20-Jun-13,268.5817983,57.13430385,260.0151156,69.9899003
England,India,India,Birmingham,23-Jun-13,333.539758,49.50748282,267.044746,57.13430385
West Indies,Sri Lanka,West Indies,Kingston,28-Jun-13,219.7817415,74.78036049,271.6072354,72.04708022
West Indies,India,West Indies,Kingston,30-Jun-13,274.4377496,57.13430385,282.7115334,60.36364992
India,Sri Lanka,Sri Lanka,Kingston,2-Jul-13,255.3275542,55.91110481,266.0670092,57.67891744
West Indies,India,India,Port of Spain,5-Jul-13,252.336481,57.13430385,280.5787806,71.26382161
India,Sri Lanka,India,Port of Spain,9-Jul-13,253.7163436,57.13430385,225.7728056,56.94818758
India,Sri Lanka,India,Port of Spain,11-Jul-13,271.8524734,58.4975621,230.9577869,56.88440876
West Indies,Pakistan,Pakistan,Providence,14-Jul-13,293.3799723,67.59171603,316.3066752,73.02543784
West Indies,Pakistan,West Indies,Providence,16-Jul-13,290.5270863,67.59171603,313.6209609,73.02543784
Sri Lanka,South Africa,Sri Lanka,Colombo (RPS),20-Jul-13,283.8920875,37.72623379,268.8207191,48.35047929
West Indies,Pakistan,Pakistan,Gros Islet,21-Jul-13,255.8198436,82.44026235,306.3989306,73.02543784
Sri Lanka,South Africa,Sri Lanka,Colombo (RPS),23-Jul-13,302.2050799,37.72623379,269.1251238,48.35047929
West Indies,Pakistan,Pakistan,Gros Islet,24-Jul-13,255.5053378,71.54145089,307.2944861,70.99425566
Sri Lanka,South Africa,South Africa,Pallekele,26-Jul-13,325.8776832,52.17800256,275.0455241,63.67737724
Sri Lanka,South Africa,Sri Lanka,Pallekele,28-Jul-13,324.537664,50.48036081,274.5833812,63.67737724
Sri Lanka,South Africa,Sri Lanka,Colombo (RPS),31-Jul-13,349.8906064,41.62266832,264.4673594,56.65399116
England,Australia,Australia,Manchester,8-Sep-13,349.8932066,50.63815156,261.4835765,26.843009
England,Australia,England,Cardiff,14-Sep-13,351.6799758,50.63815156,264.4557806,26.843009
England,Australia,Australia,Southampton,16-Sep-13,345.9782423,50.63815156,245.9210752,13.47300156
India,Australia,Australia,Pune,13-Oct-13,361.5761968,60.8750355,278.6238755,58.4975621
India,Australia,India,Jaipur,16-Oct-13,386.688419,60.8750355,279.434064,58.4975621
India,Australia,Australia,Mohali,19-Oct-13,388.5500063,60.8750355,284.2174984,58.4975621
Bangladesh,New Zealand,Bangladesh,Dhaka,29-Oct-13,200.0273556,71.48416013,186.8050386,35.11288397
India,Australia,India,Nagpur,30-Oct-13,385.9691405,60.8750355,283.831446,64.64103042
Pakistan,South Africa,South Africa,Sharjah,30-Oct-13,285.3518514,78.24426308,298.5941352,69.27785537
Bangladesh,New Zealand,Bangladesh,Dhaka,31-Oct-13,201.4619036,71.48416013,177.7789347,35.73151225
Pakistan,South Africa,Pakistan,Dubai (DSC),1-Nov-13,288.7282325,78.24426308,297.7657128,69.27785537
India,Australia,India,Bengaluru,2-Nov-13,386.2725857,46.75665438,285.9944629,59.35399321
Bangladesh,New Zealand,Bangladesh,Fatullah,3-Nov-13,159.7904683,71.48416013,177.9897712,37.36529979
Pakistan,South Africa,South Africa,Abu Dhabi,6-Nov-13,279.8367932,78.24426308,316.271566,72.66169558
Pakistan,South Africa,South Africa,Abu Dhabi,8-Nov-13,288.8949361,82.19399794,318.6437133,72.66169558
Pakistan,South Africa,South Africa,Sharjah,11-Nov-13,291.3199759,82.19399794,321.278054,63.60616749
Sri Lanka,New Zealand,New Zealand,Hambantota,12-Nov-13,202.7575832,41.2387995,231.511227,57.67891744
Sri Lanka,New Zealand,Sri Lanka,Dambulla,16-Nov-13,208.2645276,54.97798079,265.4684341,69.13084698
India,West Indies,India,Kochi,21-Nov-13,289.2599254,49.87980691,307.2606008,71.77751427
India,West Indies,West Indies,Visakhapatnam,24-Nov-13,288.1226191,49.87980691,269.1538551,63.00549551
South Africa,Pakistan,Pakistan,Cape Town,24-Nov-13,301.0828275,57.14660111,345.9195692,72.38714659
India,West Indies,India,Kanpur,27-Nov-13,288.0780311,49.87980691,270.0232239,63.00549551
South Africa,Pakistan,Pakistan,Port Elizabeth,27-Nov-13,299.5245044,57.14660111,371.428803,68.93697813
South Africa,Pakistan,South Africa,Centurion,30-Nov-13,235.1564721,40.66984373,280.1505749,69.79707551
South Africa,India,South Africa,Johannesburg,5-Dec-13,288.8112548,49.87980691,327.3476326,77.95088619
South Africa,India,South Africa,Durban,8-Dec-13,274.1471411,55.91110481,340.7962518,82.4123671
Pakistan,Sri Lanka,Pakistan,Sharjah,18-Dec-13,251.8428252,67.79914815,289.5992046,62.26905866
Pakistan,Sri Lanka,Sri Lanka,Dubai (DSC),20-Dec-13,259.6892401,67.79914815,300.9364064,65.22201789
Pakistan,Sri Lanka,Pakistan,Sharjah,22-Dec-13,260.8560153,70.00283772,297.0366106,65.22201789
Pakistan,Sri Lanka,Pakistan,Abu Dhabi,25-Dec-13,261.4119141,70.00283772,231.5501003,54.34211492
New Zealand,West Indies,West Indies,Auckland,26-Dec-13,281.8256369,37.36529979,251.5013996,63.00549551
Pakistan,Sri Lanka,Sri Lanka,Abu Dhabi,27-Dec-13,213.0253561,70.67838514,230.4289292,57.86245805
New Zealand,West Indies,New Zealand,Queenstown,1-Jan-14,337.4862164,54.70146246,210.6458958,63.36167521
New Zealand,West Indies,New Zealand,Nelson,4-Jan-14,357.6844283,56.81271818,202.7840998,62.2461015
New Zealand,West Indies,West Indies,Hamilton,8-Jan-14,356.7855394,56.81271818,261.080464,62.29312983
Australia,England,Australia,Melbourne,12-Jan-14,369.1029031,66.72920591,379.8345059,22.03273742
Australia,England,Australia,Brisbane,17-Jan-14,371.543481,59.48319107,386.8894192,22.03273742
New Zealand,India,New Zealand,Napier,19-Jan-14,307.8790708,59.83341873,348.8643092,42.64081674
Australia,England,Australia,Sydney,19-Jan-14,359.2705745,64.78660725,341.0685466,48.33352281
New Zealand,India,New Zealand,Hamilton,22-Jan-14,311.5784756,59.83341873,358.9875663,56.81271818
Australia,England,England,Perth,24-Jan-14,345.7734679,77.19415636,340.1222478,48.33352281
Australia,England,Australia,Adelaide,26-Jan-14,366.0667323,66.72920591,347.5430676,48.33352281
New Zealand,India,New Zealand,Hamilton,28-Jan-14,256.9296052,48.86274894,322.5333819,56.63489597
New Zealand,India,New Zealand,Wellington,31-Jan-14,314.5847894,48.86274894,323.4527542,44.44956312
Bangladesh,Sri Lanka,Sri Lanka,Dhaka,17-Feb-14,283.3199285,59.66226763,301.6385244,59.04460324
Bangladesh,Sri Lanka,Sri Lanka,Dhaka,20-Feb-14,317.1436533,60.85808459,305.0777668,62.27951989
Bangladesh,Sri Lanka,Sri Lanka,Dhaka,22-Feb-14,271.9321753,50.30681423,248.6894688,57.80428602
Pakistan,Sri Lanka,Sri Lanka,Fatullah,25-Feb-14,299.7165456,68.10016025,295.8995295,59.12858136
Bangladesh,India,India,Fatullah,26-Feb-14,303.498071,71.43554912,289.7136768,48.86274894
Afghanistan,Pakistan,Pakistan,Fatullah,27-Feb-14,224.7213251,80.79375914,280.7113091,68.10016025
India,Sri Lanka,Sri Lanka,Fatullah,28-Feb-14,292.7800267,48.86274894,294.7665876,62.27951989
West Indies,England,West Indies,North Sound,28-Feb-14,296.1331878,57.95199671,282.7428492,70.42659292
Bangladesh,Afghanistan,Afghanistan,Fatullah,1-Mar-14,217.1923196,95.45325332,265.859606,57.74723967
India,Pakistan,Pakistan,Dhaka,2-Mar-14,291.2761768,63.2357821,287.2852485,68.10016025
West Indies,England,England,North Sound,2-Mar-14,275.1307515,46.5200675,285.7367634,68.81020474
Afghanistan,Sri Lanka,Sri Lanka,Dhaka,3-Mar-14,213.8213251,80.79375914,248.2903332,61.96706834
Bangladesh,Pakistan,Pakistan,Dhaka,4-Mar-14,289.8070825,71.97150207,293.5437534,67.2339286
Afghanistan,India,India,Dhaka,5-Mar-14,213.8213251,62.84587055,277.3470101,63.2357821
West Indies,England,England,North Sound,5-Mar-14,285.5256054,46.5200675,293.2637354,68.81020474
Bangladesh,Sri Lanka,Sri Lanka,Dhaka,6-Mar-14,297.0611505,59.26473201,300.4373227,61.90495707
Pakistan,Sri Lanka,Sri Lanka,Dhaka,8-Mar-14,296.1225337,68.10016025,297.54082,59.12858136
England,Sri Lanka,England,The Oval,22-May-14,321.689128,47.46250182,297.7701213,71.27930985
England,Sri Lanka,Sri Lanka,Chester-le-Street,25-May-14,286.2110653,47.46250182,295.3571713,58.90681391
England,Sri Lanka,England,Manchester,28-May-14,324.1750191,47.46250182,299.5291356,60.87341304
England,Sri Lanka,Sri Lanka,Lord's,31-May-14,324.1986271,47.46250182,297.4061718,63.00748496
England,Sri Lanka,Sri Lanka,Birmingham,3-Jun-14,326.5370122,47.46250182,298.6065803,63.00748496
Bangladesh,India,India,Dhaka,15-Jun-14,338.7569933,75.90202997,168.4070585,23.95889085
Bangladesh,India,India,Dhaka,17-Jun-14,302.7677034,61.83380385,169.4403919,23.95889085
Sri Lanka,South Africa,South Africa,Colombo (RPS),6-Jul-14,297.3135212,82.44385142,299.9487372,63.00748496
Sri Lanka,South Africa,Sri Lanka,Pallekele,9-Jul-14,297.6505841,82.44385142,301.5081389,63.00748496
Sri Lanka,South Africa,South Africa,Hambantota,12-Jul-14,296.489412,78.82500914,302.5596607,64.1083297
West Indies,Bangladesh,West Indies,St George's,20-Aug-14,315.2130528,46.9539224,259.3536465,74.72843311
West Indies,Bangladesh,West Indies,St George's,22-Aug-14,316.0423935,61.02214852,263.04321,74.72843311
Sri Lanka,Pakistan,Pakistan,Hambantota,23-Aug-14,344.2309185,62.26197947,316.8938328,59.7490183
West Indies,Bangladesh,West Indies,Basseterre,25-Aug-14,310.0127223,61.02214852,269.8179075,84.32126636
Sri Lanka,Pakistan,Sri Lanka,Hambantota,26-Aug-14,342.1843168,62.26197947,312.544517,69.21871527
England,India,India,Cardiff,27-Aug-14,302.6425084,48.24956532,315.0535968,48.86274894
Australia,South Africa,South Africa,Harare,27-Aug-14,345.9699804,56.29535357,291.5462025,67.80186304
England,India,India,Nottingham,30-Aug-14,274.4320634,49.54864543,310.8217434,48.86274894
Sri Lanka,Pakistan,Sri Lanka,Dambulla,30-Aug-14,341.6374684,66.25764442,312.4429414,68.35296087
England,India,India,Birmingham,2-Sep-14,293.7566503,55.03200465,317.0275822,48.86274894
Australia,South Africa,Australia,Harare,2-Sep-14,327.8392596,45.73833462,296.2646524,69.93962876
England,India,England,Leeds,5-Sep-14,296.205419,59.16711932,319.281058,58.44860662
Australia,South Africa,South Africa,Harare,6-Sep-14,367.7758778,56.29535357,295.8374263,68.71736346
Australia,Pakistan,Australia,Sharjah,7-Oct-14,310.6311376,41.49999192,252.2344969,36.12185722
India,West Indies,West Indies,Kochi,8-Oct-14,307.1734323,50.92022686,301.7323264,79.07440316
Australia,Pakistan,Australia,Dubai (DSC),10-Oct-14,315.3599255,51.79396545,250.3277703,36.12185722
India,West Indies,India,Delhi,11-Oct-14,309.512708,60.50608454,302.796565,79.07440316
Australia,Pakistan,Australia,Abu Dhabi,12-Oct-14,354.8371817,52.53643695,239.9759717,35.87058039
India,West Indies,India,Dharamsala,17-Oct-14,310.4760477,46.13305138,303.8244343,79.43763833
New Zealand,South Africa,South Africa,Mount Maunganui,21-Oct-14,274.9880463,66.79989191,252.3215762,71.42070532
New Zealand,South Africa,South Africa,Mount Maunganui,24-Oct-14,256.8505192,68.15160897,293.0343158,59.25287241
India,Sri Lanka,India,Cuttack,2-Nov-14,235.6691379,32.87208272,309.9778902,54.12413251
India,Sri Lanka,India,Ahmedabad,6-Nov-14,270.3617232,45.27086203,308.9562217,54.12413251
India,Sri Lanka,India,Hyderabad (Deccan),9-Nov-14,243.0633411,32.87208272,308.2651834,43.3578726
India,Sri Lanka,India,Kolkata,13-Nov-14,268.3367377,9.585857683,298.2525181,68.46254362
Australia,South Africa,Australia,Perth,14-Nov-14,364.9712745,45.10146975,293.3906603,81.32163893
India,Sri Lanka,India,Ranchi,16-Nov-14,225.726853,12.31555524,260.3223029,56.31181513
Australia,South Africa,South Africa,Perth,16-Nov-14,360.0407072,53.75010223,295.6188837,69.15380602
Australia,South Africa,Australia,Canberra,19-Nov-14,302.185985,44.74289913,293.7342912,69.15380602
Australia,South Africa,Australia,Melbourne,21-Nov-14,353.8030159,65.04959268,294.1717621,58.07175817
Australia,South Africa,Australia,Sydney,23-Nov-14,354.8042713,53.24739488,235.4731946,57.98785049
Sri Lanka,England,Sri Lanka,Colombo (RPS),26-Nov-14,367.665924,42.93081024,299.6500327,70.2563057
Sri Lanka,England,Sri Lanka,Colombo (RPS),29-Nov-14,354.1580438,55.66181956,301.4688791,70.2563057
Sri Lanka,England,England,Hambantota,3-Dec-14,365.7915378,44.03186198,293.050373,70.2563057
Sri Lanka,England,Sri Lanka,Colombo (RPS),7-Dec-14,321.4214889,44.03186198,301.8509072,70.2563057
New Zealand,Pakistan,Pakistan,Dubai (DSC),8-Dec-14,223.6991317,46.12140527,246.4829199,61.3524343
New Zealand,Pakistan,New Zealand,Sharjah,12-Dec-14,223.9953197,36.06132565,245.4716212,59.41257481
Sri Lanka,England,Sri Lanka,Pallekele,13-Dec-14,336.8335882,57.63036271,359.0148424,64.58567499
New Zealand,Pakistan,Pakistan,Sharjah,14-Dec-14,334.149864,40.52956102,246.6453978,59.41257481
Sri Lanka,England,Sri Lanka,Colombo (RPS),16-Dec-14,300.4716254,54.36273945,332.4004705,52.03851682
New Zealand,Pakistan,New Zealand,Abu Dhabi,17-Dec-14,273.021589,36.06132565,255.1407571,48.57360796
New Zealand,Pakistan,New Zealand,Abu Dhabi,19-Dec-14,245.6852461,20.50144154,251.2645211,25.28289036
New Zealand,Sri Lanka,New Zealand,Christchurch,11-Jan-15,330.2939332,55.82373941,290.1937217,62.93189175
New Zealand,Sri Lanka,Sri Lanka,Hamilton,15-Jan-15,301.0597948,71.05733653,291.8748281,66.03324935
Australia,England,Australia,Sydney,16-Jan-15,369.8683573,69.59427006,340.875499,57.28098411
South Africa,West Indies,South Africa,Durban,16-Jan-15,336.5682231,58.38853519,289.2928061,62.39308458
Australia,India,Australia,Melbourne,18-Jan-15,375.642472,59.59175434,311.9906022,59.25407319
South Africa,West Indies,South Africa,Johannesburg,18-Jan-15,338.8055788,58.38853519,296.0404901,62.39308458
England,India,England,Brisbane,20-Jan-15,314.7763373,59.2263963,345.2340419,58.38173477
New Zealand,Sri Lanka,New Zealand,Nelson,20-Jan-15,310.3581079,57.25069873,292.3056372,66.03324935
South Africa,West Indies,South Africa,East London,21-Jan-15,346.2969799,58.38853519,294.6852615,53.82485219
Australia,England,Australia,Hobart,23-Jan-15,308.8644231,48.87933541,314.3867678,59.2263963
New Zealand,Sri Lanka,New Zealand,Dunedin,23-Jan-15,341.7355546,56.94062159,290.027121,53.94568767
New Zealand,Sri Lanka,New Zealand,Dunedin,25-Jan-15,314.5683963,65.02812713,263.2593551,54.79575885
South Africa,West Indies,West Indies,Port Elizabeth,25-Jan-15,321.1859641,46.97940147,297.945704,38.57725771
South Africa,West Indies,South Africa,Centurion,28-Jan-15,332.0856165,32.69293972,331.0022845,38.57725771
New Zealand,Sri Lanka,Sri Lanka,Wellington,29-Jan-15,312.1264788,61.12688351,265.4581083,32.50560791
England,India,England,Perth,30-Jan-15,319.5875692,59.2263963,377.5604589,58.98073279
New Zealand,Pakistan,New Zealand,Wellington,31-Jan-15,340.8694287,58.92475803,334.1320735,36.3384795
Australia,England,Australia,Perth,1-Feb-15,367.6025699,78.38685733,316.5519306,59.2263963
New Zealand,Pakistan,New Zealand,Napier,3-Feb-15,302.262993,59.21682939,333.2914721,36.3384795
Australia,England,Australia,Melbourne,14-Feb-15,372.3509987,77.71841602,312.7100383,59.2263963
New Zealand,Sri Lanka,New Zealand,Christchurch,14-Feb-15,315.2711182,61.49365837,231.3837048,67.59175935
India,Pakistan,India,Adelaide,15-Feb-15,311.869569,58.42488801,326.1382919,58.19787821
Afghanistan,Bangladesh,Bangladesh,Canberra,18-Feb-15,247.7220088,79.74703794,335.8733883,60.3718102
New Zealand,England,New Zealand,Wellington,20-Feb-15,303.8493289,59.2263963,318.7515511,61.49365837
Pakistan,West Indies,West Indies,Christchurch,21-Feb-15,368.2266583,47.91787821,347.5782129,62.39308458
India,South Africa,India,Melbourne,22-Feb-15,310.1315135,58.42488801,310.0575007,69.29127502
Afghanistan,Sri Lanka,Sri Lanka,Dunedin,22-Feb-15,233.9220088,79.00066108,263.4803262,66.29306217
Bangladesh,Sri Lanka,Sri Lanka,Melbourne,26-Feb-15,343.7510196,60.3718102,277.0462816,57.64877813
South Africa,West Indies,South Africa,Sydney,27-Feb-15,354.8556358,54.99445366,335.3983031,62.39308458
New Zealand,Australia,New Zealand,Auckland,28-Feb-15,354.5747758,73.67798396,308.7482314,61.49365837
England,Sri Lanka,Sri Lanka,Wellington,1-Mar-15,315.4762879,59.2263963,276.8553681,57.64877813
Australia,Afghanistan,Australia,Perth,4-Mar-15,278.972597,64.58378966,351.1941425,78.38685733
India,West Indies,India,Perth,6-Mar-15,314.6629076,58.42488801,338.1724352,64.74652014
Pakistan,South Africa,Pakistan,Auckland,7-Mar-15,312.5117575,58.58102375,349.3053033,54.99445366
Australia,Sri Lanka,Australia,Sydney,8-Mar-15,359.5868291,71.37879742,370.109891,44.7730393
New Zealand,Afghanistan,New Zealand,Napier,8-Mar-15,266.372597,64.58378966,295.6453606,61.49365837
Bangladesh,England,Bangladesh,Adelaide,9-Mar-15,312.0361723,76.36488179,336.1223646,57.77276039
New Zealand,Bangladesh,New Zealand,Hamilton,13-Mar-15,315.0568905,46.91791847,312.3348844,62.26882453
Afghanistan,England,England,Sydney,13-Mar-15,232.0781614,64.58378966,316.8907467,50.00680898
South Africa,Sri Lanka,South Africa,Sydney,18-Mar-15,349.5686833,54.99445366,286.4565013,45.12594505
Bangladesh,India,India,Melbourne,19-Mar-15,347.7282066,60.3718102,317.4188836,58.42488801
Australia,Pakistan,Australia,Adelaide,20-Mar-15,366.8847172,77.78461065,315.4739555,45.74359206
New Zealand,West Indies,New Zealand,Wellington,21-Mar-15,314.5159162,61.49365837,345.268323,62.39308458
New Zealand,South Africa,New Zealand,Auckland,24-Mar-15,319.2144082,63.75740947,348.1529294,58.38853519
Australia,India,Australia,Sydney,26-Mar-15,370.8761042,77.78461065,314.4174162,58.42488801
Australia,New Zealand,Australia,Melbourne,29-Mar-15,356.0448488,77.78461065,315.5610749,63.75740947
Bangladesh,Pakistan,Bangladesh,Dhaka,17-Apr-15,280.7802503,62.91099006,264.9315061,63.61198794
Bangladesh,Pakistan,Bangladesh,Dhaka,19-Apr-15,313.0953012,76.36488179,283.5957918,63.61198794
Bangladesh,Pakistan,Bangladesh,Dhaka,22-Apr-15,313.6705959,76.36488179,248.7334345,48.28550338
England,New Zealand,England,Birmingham,9-Jun-15,354.2734127,33.55864713,293.9223382,47.39385229
England,New Zealand,New Zealand,The Oval,12-Jun-15,366.5738095,33.55864713,293.2764688,46.24698337
England,New Zealand,New Zealand,Southampton,14-Jun-15,304.476833,25.4632293,265.9037816,35.07579943
England,New Zealand,England,Nottingham,17-Jun-15,303.8632976,25.4632293,266.1373102,35.07579943
Bangladesh,India,Bangladesh,Dhaka,18-Jun-15,281.8618029,52.16068594,318.5203915,57.56935189
England,New Zealand,England,Chester-le-Street,20-Jun-15,290.2506353,25.4632293,266.7640267,23.99396661
Bangladesh,India,Bangladesh,Dhaka,21-Jun-15,284.1910054,52.16068594,343.5715467,48.22065906
Bangladesh,India,India,Dhaka,24-Jun-15,283.4692883,55.65116954,346.4862852,47.09445249
Bangladesh,South Africa,South Africa,Dhaka,10-Jul-15,301.94872,36.84848511,322.1606165,42.38239702
Sri Lanka,Pakistan,Pakistan,Dambulla,11-Jul-15,274.632387,54.91086389,307.2108273,44.52172749
Bangladesh,South Africa,Bangladesh,Dhaka,12-Jul-15,308.1357438,47.86922221,330.1072832,42.38239702
Sri Lanka,Pakistan,Sri Lanka,Pallekele,15-Jul-15,276.4348194,54.91086389,276.0567018,33.23663903
Bangladesh,South Africa,Bangladesh,Chattogram,15-Jul-15,312.2371327,47.86922221,329.7906165,56.66885876
Sri Lanka,Pakistan,Pakistan,Colombo (RPS),19-Jul-15,277.9064005,54.91086389,276.1943233,33.23663903
Sri Lanka,Pakistan,Pakistan,Colombo (RPS),22-Jul-15,278.7715696,54.91086389,234.0460311,33.93111864
Sri Lanka,Pakistan,Sri Lanka,Hambantota,26-Jul-15,279.0357934,54.91086389,296.1937529,43.65769711
South Africa,New Zealand,South Africa,Centurion,19-Aug-15,281.2235848,39.22457956,284.1298617,59.83513299
South Africa,New Zealand,New Zealand,Potchefstroom,23-Aug-15,216.6723578,22.17359684,286.9435918,54.98803835
South Africa,New Zealand,South Africa,Durban,26-Aug-15,217.7736826,22.17359684,287.378094,56.44105146
England,Australia,Australia,Southampton,3-Sep-15,317.2113458,72.31784826,343.3857289,33.94120438
England,Australia,Australia,Lord's,5-Sep-15,317.8343601,72.31784826,388.1144165,43.94233432
England,Australia,England,Manchester,8-Sep-15,275.2217144,57.68739938,370.103933,43.94233432
England,Australia,England,Leeds,11-Sep-15,313.155966,51.87799982,372.2135906,34.23166849
England,Australia,Australia,Manchester,13-Sep-15,313.8506203,58.96325116,336.2951975,24.23053854
India,South Africa,South Africa,Kanpur,11-Oct-15,318.0471357,60.39683255,343.5816772,59.82327824
India,South Africa,India,Indore,14-Oct-15,313.1009995,57.91210944,346.3891556,59.82327824
India,South Africa,South Africa,Rajkot,18-Oct-15,313.7646345,61.02095763,344.5639787,59.82327824
India,South Africa,India,Chennai,22-Oct-15,312.9427334,61.02095763,304.4384397,56.4227814
India,South Africa,South Africa,Mumbai,25-Oct-15,312.9435333,61.02095763,303.7320477,56.44105146
Sri Lanka,West Indies,Sri Lanka,Colombo (RPS),1-Nov-15,185.0957746,60.3419442,282.5223264,51.01560918
Sri Lanka,West Indies,Sri Lanka,Colombo (RPS),4-Nov-15,221.3977837,60.3419442,177.54682,41.83517536
Sri Lanka,West Indies,Sri Lanka,Pallekele,7-Nov-15,200.630414,48.80554393,239.114104,39.81976494
England,Pakistan,Pakistan,Abu Dhabi,11-Nov-15,342.895792,34.39328058,244.4160461,55.69472246
England,Pakistan,England,Abu Dhabi,13-Nov-15,351.7824586,34.39328058,248.7397058,55.69472246
England,Pakistan,England,Sharjah,17-Nov-15,360.0624586,34.39328058,258.4780392,45.41472246
England,Pakistan,England,Dubai (DSC),20-Nov-15,359.9291253,34.39328058,295.6955321,55.69472246
New Zealand,Sri Lanka,New Zealand,Christchurch,26-Dec-15,215.3610395,45.82584743,179.7597146,48.2944193
New Zealand,Sri Lanka,New Zealand,Christchurch,28-Dec-15,215.834967,35.51918076,205.786067,33.67130581
New Zealand,Sri Lanka,Sri Lanka,Nelson,31-Dec-15,223.3158519,44.67897851,178.7988433,22.13490554
New Zealand,Sri Lanka,New Zealand,Mount Maunganui,5-Jan-16,297.9175589,53.94728986,302.4175412,41.33346464
Australia,India,Australia,Perth,12-Jan-16,379.7018658,44.39705489,276.3510696,45.308204
Australia,India,Australia,Brisbane,15-Jan-16,359.9733007,43.17312824,276.9257565,45.13343561
Australia,India,Australia,Melbourne,17-Jan-16,404.8199309,52.87012138,278.9586804,32.52902216
Australia,India,Australia,Canberra,20-Jan-16,411.2454213,64.66119643,279.3299457,43.54810873
Australia,India,India,Sydney,23-Jan-16,399.7233154,45.73220051,236.0790942,32.52902216
New Zealand,Pakistan,New Zealand,Wellington,25-Jan-16,335.1507174,57.23455362,360.2676174,65.31144877
New Zealand,Pakistan,New Zealand,Auckland,31-Jan-16,347.7045211,56.30015798,336.7238054,69.34417267
New Zealand,Australia,New Zealand,Auckland,3-Feb-16,380.8667772,67.73076914,327.7446372,56.30015798
South Africa,England,England,Bloemfontein,3-Feb-16,350.3608944,53.39369568,339.4844566,37.38342606
New Zealand,Australia,Australia,Wellington,6-Feb-16,346.228992,58.7035987,337.0320279,56.30015798
South Africa,England,England,Port Elizabeth,6-Feb-16,380.487561,53.39369568,355.6208065,54.279781
New Zealand,Australia,New Zealand,Hamilton,8-Feb-16,354.5623254,58.7035987,298.7489925,51.97354565
