a,b,winner,location,date,a_bat,a_bowl,b_bat,b_bowl
India,Pakistan,India,Guwahati,5-Nov-07,279.4546355,60.42505056,261.6735357,74.04355591
India,Pakistan,Pakistan,Mohali,8-Nov-07,346.8235293,51.18767116,284.5735357,61.49480308
India,Pakistan,India,Kanpur,11-Nov-07,301.0046355,60.42505056,287.2235357,62.34741116
India,Pakistan,India,Gwalior,15-Nov-07,349.7901959,51.18767116,286.3735357,61.49480308
India,Pakistan,Pakistan,Jaipur,18-Nov-07,307.7665425,33.00421717,237.3561524,34.86300279
South Africa,New Zealand,South Africa,Durban,25-Nov-07,211.8065737,47.4983109,214.6014548,71.36531343
South Africa,New Zealand,New Zealand,Port Elizabeth,30-Nov-07,254.0671559,63.23391949,274.2491507,68.0961471
South Africa,New Zealand,South Africa,Cape Town,2-Dec-07,254.6171559,63.23391949,243.0142315,56.31586676
Australia,New Zealand,Australia,Adelaide,14-Dec-07,271.7610894,76.34945223,251.9942988,60.72535467
Australia,New Zealand,Australia,Hobart,20-Dec-07,260.1261677,76.34945223,215.9567932,63.23391949
New Zealand,Bangladesh,New Zealand,Auckland,26-Dec-07,199.9826326,54.86605909,237.6084477,60.72535467
New Zealand,Bangladesh,New Zealand,Napier,28-Dec-07,203.6326326,54.86605909,254.8084477,60.72535467
New Zealand,Bangladesh,New Zealand,Queenstown,31-Dec-07,204.1826326,54.86605909,263.391781,71.85716382
South Africa,West Indies,South Africa,Centurion,20-Jan-08,213.4711843,80.04595921,216.378778,47.25482669
South Africa,West Indies,South Africa,Cape Town,25-Jan-08,258.4409994,76.80255776,223.163078,48.58213804
South Africa,West Indies,South Africa,Port Elizabeth,27-Jan-08,254.607666,76.80255776,185.4759652,51.0157001
South Africa,West Indies,South Africa,Durban,1-Feb-08,254.307666,82.58551343,166.8000068,51.0157001
South Africa,West Indies,South Africa,Johannesburg,3-Feb-08,253.5059994,80.04595921,186.7500918,33.90928366
Australia,Sri Lanka,Australia,Sydney,8-Feb-08,296.1110496,81.95278013,260.2414747,57.5938281
New Zealand,England,New Zealand,Wellington,9-Feb-08,267.3040126,54.26674699,221.537898,73.43619974
Australia,India,India,Melbourne,10-Feb-08,305.0147259,69.25082879,307.8695738,47.54361691
India,Sri Lanka,Sri Lanka,Canberra,12-Feb-08,308.9945738,47.54361691,225.5186848,87.36031416
New Zealand,England,New Zealand,Hamilton,12-Feb-08,270.4906793,54.26674699,222.782898,73.03617375
Australia,Sri Lanka,Australia,Perth,15-Feb-08,299.2443829,81.95278013,221.1936848,87.36031416
New Zealand,England,England,Auckland,15-Feb-08,270.8147582,40.39359688,223.752898,70.49967542
Australia,India,Australia,Adelaide,17-Feb-08,300.4943829,79.99190257,262.4730376,61.17790195
India,Sri Lanka,India,Adelaide,19-Feb-08,267.8635138,63.52559173,226.3336848,72.24504936
Australia,Sri Lanka,Australia,Melbourne,22-Feb-08,297.5860496,79.99190257,193.2612533,72.24504936
New Zealand,England,New Zealand,Christchurch,23-Feb-08,271.5897582,40.39359688,185.6685624,73.43619974
Australia,India,Australia,Sydney,24-Feb-08,296.2866448,79.88514046,310.1040976,47.54361691
India,Sri Lanka,India,Hobart,26-Feb-08,265.0935138,63.52559173,226.0436848,57.5938281
Australia,Sri Lanka,Sri Lanka,Melbourne,29-Feb-08,282.9427709,81.95278013,221.0936848,56.99214725
Australia,India,India,Sydney,2-Mar-08,296.6433909,81.95278013,263.155736,62.17356475
Australia,India,India,Brisbane,4-Mar-08,296.2774385,81.41956285,264.0812915,61.73137327
Bangladesh,South Africa,South Africa,Chattogram,9-Mar-08,183.818741,52.40691005,166.2726831,50.57039751
Bangladesh,South Africa,South Africa,Dhaka,12-Mar-08,215.1792942,56.83088415,170.8726831,50.57039751
Bangladesh,South Africa,South Africa,Dhaka,14-Mar-08,214.8792942,50.03605458,175.7060165,46.15284369
Pakistan,Bangladesh,Pakistan,Lahore,8-Apr-08,237.5700007,50.03605458,300.4290979,61.85165252
West Indies,Sri Lanka,West Indies,Port of Spain,10-Apr-08,214.8286782,54.26605071,251.1202412,48.87515819
Pakistan,Bangladesh,Pakistan,Faisalabad,11-Apr-08,214.3391771,65.02206856,329.6290979,61.85165252
West Indies,Sri Lanka,West Indies,Port of Spain,12-Apr-08,221.5286782,54.26605071,278.1315307,61.79823511
Pakistan,Bangladesh,Pakistan,Lahore,13-Apr-08,215.0891771,58.94797937,285.0287119,48.05570161
Pakistan,Bangladesh,Pakistan,Multan,16-Apr-08,180.6833861,58.94797937,267.5020452,48.12857422
Pakistan,Bangladesh,Pakistan,Karachi,19-Apr-08,181.7500527,58.94797937,303.3857645,48.12857422
Bangladesh,Pakistan,Pakistan,Dhaka,8-Jun-08,202.5398791,37.25696342,329.1607645,49.66559168
India,Pakistan,India,Dhaka,10-Jun-08,264.3506118,48.59152615,326.7290979,61.85165252
Bangladesh,India,India,Dhaka,12-Jun-08,203.6932124,36.53622304,259.0906118,48.9741584
India,Pakistan,Pakistan,Dhaka,14-Jun-08,266.7322785,48.59152615,325.0057645,61.85165252
England,New Zealand,England,Chester-le-Street,15-Jun-08,229.5701451,54.26674699,193.6204938,66.65083396
England,New Zealand,New Zealand,Bristol,21-Jun-08,229.9451451,39.75582996,152.4774938,64.66271925
West Indies,Australia,Australia,Kingstown,24-Jun-08,249.2598379,71.59317631,201.883885,48.87515819
Bangladesh,Sri Lanka,Sri Lanka,Lahore,25-Jun-08,161.4874214,37.25696342,224.6853514,94.22514622
England,New Zealand,New Zealand,The Oval,25-Jun-08,228.4275044,54.26674699,184.6047528,78.35063921
Pakistan,India,India,Karachi,26-Jun-08,266.1468023,47.98405902,292.8136467,61.85165252
West Indies,Australia,Australia,St George's,27-Jun-08,217.9864769,71.59317631,173.3561153,48.45269208
Bangladesh,India,India,Karachi,28-Jun-08,174.8874214,45.44814783,252.776263,22.65841253
England,New Zealand,New Zealand,Lord's,28-Jun-08,228.4460351,54.26674699,184.8975883,78.35063921
Pakistan,Sri Lanka,Sri Lanka,Karachi,29-Jun-08,280.8979324,48.05570161,256.8270181,97.73243516
West Indies,Australia,Australia,St George's,29-Jun-08,227.0617865,80.29256491,242.9543311,47.54784684
Bangladesh,Sri Lanka,Sri Lanka,Karachi,30-Jun-08,168.7640881,45.44814783,263.5836848,97.73243516
Pakistan,India,Pakistan,Karachi,2-Jul-08,268.2572785,48.59152615,252.0954514,37.9206364
India,Sri Lanka,India,Karachi,3-Jul-08,262.2906118,47.82979047,261.0972562,70.51712488
Pakistan,Bangladesh,Pakistan,Karachi,4-Jul-08,164.1040881,45.44814783,243.0417163,36.6635454
West Indies,Australia,Australia,Basseterre,4-Jul-08,182.9814222,80.29256491,244.3459978,47.54784684
India,Sri Lanka,Sri Lanka,Karachi,6-Jul-08,307.9918469,34.78640204,265.0170181,97.73243516
West Indies,Australia,Australia,Basseterre,6-Jul-08,184.6497555,80.29256491,219.6367065,47.54784684
Sri Lanka,India,Sri Lanka,Dambulla,18-Aug-08,215.0216946,52.44641527,263.2603514,97.73243516
Sri Lanka,India,India,Dambulla,20-Aug-08,165.1310931,65.4898037,263.4870181,93.95096515
England,South Africa,England,Leeds,22-Aug-08,248.9183225,51.77447538,242.2909994,62.39754672
Sri Lanka,India,India,Colombo (RPS),24-Aug-08,211.9221708,53.36181418,262.4793991,97.73243516
England,South Africa,England,Nottingham,26-Aug-08,268.8060218,51.77447538,246.8409994,74.92682073
Sri Lanka,India,India,Colombo (RPS),27-Aug-08,212.541857,53.36181418,226.7665198,97.73243516
Sri Lanka,India,Sri Lanka,Colombo (RPS),29-Aug-08,213.1635922,50.38489905,221.4424655,75.80652885
England,South Africa,England,The Oval,29-Aug-08,269.1893551,51.77447538,192.8202575,73.05073075
Australia,Bangladesh,Australia,Darwin,30-Aug-08,163.1933414,57.56220673,196.3273437,59.28587597
England,South Africa,England,Lord's,31-Aug-08,270.4143551,51.77447538,192.1119242,58.77880824
Australia,Bangladesh,Australia,Darwin,3-Sep-08,206.687807,69.63229875,165.5465202,59.28587597
Australia,Bangladesh,Australia,Darwin,6-Sep-08,205.087807,69.63229875,164.4298535,58.94797937
Bangladesh,New Zealand,Bangladesh,Dhaka,9-Oct-08,137.8593462,65.74280894,191.7557052,78.35063921
Bangladesh,New Zealand,New Zealand,Dhaka,11-Oct-08,137.9393462,65.74280894,188.0807052,80.73877991
Bangladesh,New Zealand,New Zealand,Chattogram,14-Oct-08,138.0426796,65.74280894,187.1040385,80.73877991
South Africa,Bangladesh,South Africa,Potchefstroom,7-Nov-08,173.2318364,56.83088415,151.3671091,57.49379093
South Africa,Bangladesh,South Africa,Benoni,9-Nov-08,173.4701698,56.83088415,202.0545176,57.49379093
Pakistan,West Indies,Pakistan,Abu Dhabi,12-Nov-08,266.7895167,49.66559168,184.617442,37.9560002
India,England,India,Rajkot,14-Nov-08,270.1414667,51.77447538,253.958469,51.83894813
Pakistan,West Indies,Pakistan,Abu Dhabi,14-Nov-08,274.0395167,61.85165252,197.217442,37.9560002
Pakistan,West Indies,Pakistan,Abu Dhabi,16-Nov-08,278.5895167,61.85165252,194.817442,37.9560002
India,England,India,Indore,17-Nov-08,269.3601572,51.77447538,269.7081118,51.83894813
India,England,India,Kanpur,20-Nov-08,269.455554,53.47763684,264.3739452,51.45631588
India,England,India,Bengaluru,23-Nov-08,269.4779746,53.47763684,282.3451873,51.45631588
India,England,India,Cuttack,26-Nov-08,266.4859025,53.34620648,268.1285752,49.95002036
New Zealand,West Indies,West Indies,Christchurch,3-Jan-09,204.6395276,73.87297208,204.419452,69.35588446
New Zealand,West Indies,New Zealand,Wellington,7-Jan-09,217.4395276,73.87297208,218.7627789,69.35588446
New Zealand,West Indies,New Zealand,Napier,13-Jan-09,224.2101875,59.29784814,214.5573134,44.53223333
Bangladesh,Sri Lanka,Bangladesh,Dhaka,14-Jan-09,200.7085228,40.72701806,298.8372571,87.46309952
Australia,South Africa,South Africa,Melbourne,16-Jan-09,314.4015806,49.75701382,260.9174159,57.4701985
Bangladesh,Sri Lanka,Sri Lanka,Dhaka,16-Jan-09,201.0459037,52.88508257,263.1274444,88.3147138
Australia,South Africa,Australia,Hobart,18-Jan-09,285.0675734,37.22315743,327.3101634,60.76966271
Pakistan,Sri Lanka,Pakistan,Karachi,20-Jan-09,256.9445979,76.17088497,263.9546971,88.3147138
Pakistan,Sri Lanka,Sri Lanka,Karachi,21-Jan-09,256.4195979,76.17088497,268.0564121,88.3147138
Australia,South Africa,South Africa,Sydney,23-Jan-09,251.3402981,67.7490094,322.9268301,60.76966271
Pakistan,Sri Lanka,Sri Lanka,Lahore,24-Jan-09,251.4445979,64.37451376,272.6330787,88.3147138
Australia,South Africa,South Africa,Adelaide,26-Jan-09,282.5992401,47.46891444,291.3473793,72.87038585
Sri Lanka,India,India,Dambulla,28-Jan-09,290.3777776,42.93600514,265.3707772,88.3147138
Australia,South Africa,South Africa,Perth,30-Jan-09,293.7293052,50.87891606,248.6382086,34.495619
Sri Lanka,India,India,Colombo (RPS),31-Jan-09,310.3986716,42.01743345,266.9698919,88.3147138
Australia,New Zealand,New Zealand,Perth,1-Feb-09,288.7473211,54.03828685,219.7504513,69.48496113
